O=C(O)CCN(CCC(=O)O)c1cccc(C(=O)O)c1 UIAFDRRSIISFKN-UHFFFAOYSA-N
CCNC(=S)Nc1ccc(OC(F)(F)F)cc1 YRUQQTOSETWSHS-UHFFFAOYSA-N
OCCNC(=S)Nc1ccc(F)cc1 FHOSFKLVCXFTBV-UHFFFAOYSA-N
COC(=O)Nc1ccc(Cl)c(Cl)c1 WOZQBERUBLYCEG-UHFFFAOYSA-N
CN(C)c1cc(C#N)c(C#N)cc1[N+](=O)[O-] PVISTEGVDYRVEM-UHFFFAOYSA-N
N=C(N)N=C(N)Nc1cccc([N+](=O)[O-])c1 WEOIHIYCKWSSBW-UHFFFAOYSA-N
N=C(N)N=C(N)Nc1ccccc1C(F)(F)F WWGJSAKTVIHBMA-UHFFFAOYSA-N
Cc1ccc(Cl)cc1N=C(N)N=C(N)N SJPLIZPAHCNLFD-UHFFFAOYSA-N
Cc1ccc(N=C(N)N=C(N)N)cc1Cl LIIRNJNGOKYCIP-UHFFFAOYSA-N
CCN(C(N)=NC(=N)N)c1ccccc1 KZZXOYFLVCIWCW-UHFFFAOYSA-N
COc1cc(N=C(N)N=C(N)N)cc(OC)c1 VQKIGKHIRBCYNE-UHFFFAOYSA-N
Cc1c(Cl)cccc1N=C(N)N=C(N)N ADAYMJIUZHEBPP-UHFFFAOYSA-N
O=[N+]([O-])c1cc(S(=O)(=O)O)cc([N+](=O)[O-])c1Cl ALVPDCHBQRCKRQ-UHFFFAOYSA-N
COc1cccc(OC)c1OCCNC(C)=O YNBUVXJQCDMDFB-UHFFFAOYSA-N
CC(=O)NC(Cc1ccc(OC(C)=O)cc1)C(C)=O WTEMYUWYDPNDCL-UHFFFAOYSA-N
COc1cccc(OC)c1C(=O)NCCOCC(F)(F)F LVDBVDWJYGGLER-UHFFFAOYSA-N
CC(=O)NCCOc1cc(C)c(Cl)cc1C(C)C ULFYPRPOCVMQPB-UHFFFAOYSA-N
O=C(NCCOCC(F)(F)F)c1ccc([N+](=O)[O-])cc1 HYRUGIUWLDAVFJ-UHFFFAOYSA-N
OCCNC(=S)Nc1ccc(Cl)c(Cl)c1 UFTYCEAGKXXBJN-UHFFFAOYSA-N
CCCc1ccc(OCCNC(C)=O)c(OC)c1 XACAJANRBWYFIE-UHFFFAOYSA-N
COC(=O)c1cc([N+](=O)[O-])cc(C)c1NC(C)=O CTRBXYMUCRFWGM-UHFFFAOYSA-N
CCOc1cc(N)c(C#N)cc1OCC RSBNAILPKCDZBJ-UHFFFAOYSA-N
Cc1cc(O)c(Br)cc1N SUNUYNWRSKSEDB-UHFFFAOYSA-N
Nc1c([N+](=O)[O-])cc(C(=O)O)cc1[N+](=O)[O-] RMVUGEPUWQMQPR-UHFFFAOYSA-N
Nc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-] RLIOZFXFZKCBIG-UHFFFAOYSA-N
COC(=O)c1cc([N+](=O)[O-])c(N)c([N+](=O)[O-])c1 PXMURBICUSFNIK-UHFFFAOYSA-N
N=C(N)N=C(N)Nc1ccc(Cl)cc1Cl YUOBDYAVSVCCNI-UHFFFAOYSA-N
N=C(N)N=C(N)Nc1ccc(Cl)c(Cl)c1 ZJAWVBLMRPEUPW-UHFFFAOYSA-N
N=C(N)N=C(N)Nc1cccc(Cl)c1 DIHXJZHAIHGSAW-UHFFFAOYSA-N
N#Cc1ccc(NC(=O)C(Cl)(Cl)Cl)cc1 RWWHDWGTLIGQBC-UHFFFAOYSA-N
N#Cc1ccccc1NC(=O)C(Cl)(Cl)Cl JBLQSXYHCNASCW-UHFFFAOYSA-N
CCOc1ccccc1NC(=O)C(Cl)(Cl)Cl JZXCRKWLGUIBQQ-UHFFFAOYSA-N
CC(=O)Nc1cccc(NC(=O)C(Cl)(Cl)Cl)c1 FEPGGPIAJYESNZ-UHFFFAOYSA-N
